Date,Temperature,Precipitation,Humidity,Wind_Speed,Daylight_Hours
1/1/2022,56,0,64,19,10
1/2/2022,56,0,62,38,10
1/3/2022,59,4,66,19,10
1/4/2022,67,1,51,-2,10
1/5/2022,63,2,43,36,10
1/6/2022,60,3,55,-16,10
1/7/2022,55,1,70,45,10
1/8/2022,60,4,78,23,10
1/9/2022,60,0,71,-8,10
1/10/2022,63,2,72,-6,10
1/11/2022,61,0,71,23,10
1/12/2022,61,0,79,1,10
1/13/2022,62,2,78,20,10
1/14/2022,65,3,90,37,10
1/15/2022,64,2,79,-10,10
1/16/2022,59,4,61,33,10
1/17/2022,56,2,51,15,10
1/18/2022,58,1,44,13,10
1/19/2022,55,4,52,43,10
1/20/2022,53,2,48,29,10
1/21/2022,54,0,59,8,10
1/22/2022,60,3,57,44,10
1/23/2022,69,3,51,10,10
1/24/2022,70,4,45,-27,10
1/25/2022,74,4,49,14,10
1/26/2022,65,2,68,1,10
1/27/2022,64,3,70,37,10
1/28/2022,59,3,65,37,10
1/29/2022,59,2,45,18,10
1/30/2022,61,1,56,37,10
1/31/2022,60,4,67,16,10
2/1/2022,58,0,77,-30,10
2/2/2022,59,4,64,-18,10
2/3/2022,55,0,43,25,10
2/4/2022,60,0,37,36,10
2/5/2022,52,3,47,33,10
2/6/2022,56,4,64,38,10
2/7/2022,53,2,73,19,10
2/8/2022,61,4,64,20,10
2/9/2022,57,3,47,-16,10
2/10/2022,60,2,49,-17,10
2/11/2022,57,1,58,0,10
2/12/2022,57,0,65,11,10
2/13/2022,54,3,57,4,10
2/14/2022,54,4,41,4,10
2/15/2022,55,4,42,-4,10
2/16/2022,53,2,48,-23,10
2/17/2022,46,0,47,11,10
2/18/2022,45,1,49,39,10
2/19/2022,45,0,57,44,10
2/20/2022,46,2,69,-16,10
2/21/2022,48,4,74,2,10
2/22/2022,48,1,71,-24,10
2/23/2022,48,3,64,-8,10
2/24/2022,50,1,69,18,10
2/25/2022,53,1,71,-24,10
2/26/2022,59,2,77,-10,10
2/27/2022,62,3,63,-20,10
2/28/2022,69,3,45,23,10
3/1/2022,65,1,32,-29,10
3/2/2022,64,2,27,-30,10
3/3/2022,60,0,38,-4,10
3/4/2022,64,2,50,42,11
3/5/2022,62,2,53,-21,11
3/6/2022,60,1,47,-23,11
3/7/2022,55,1,54,-21,11
3/8/2022,57,3,52,24,11
3/9/2022,62,3,63,39,11
3/10/2022,69,0,43,-22,11
3/11/2022,73,0,49,35,11
3/12/2022,69,3,37,42,11
3/13/2022,63,3,50,24,11
3/14/2022,63,0,44,37,11
3/15/2022,64,4,52,-24,11
3/16/2022,67,4,55,30,11
3/17/2022,61,1,69,40,11
3/18/2022,58,0,62,28,11
3/19/2022,57,0,63,31,11
3/20/2022,62,1,56,-5,11
3/21/2022,62,4,68,15,11
3/22/2022,65,0,71,-19,11
3/23/2022,67,1,70,-21,11
3/24/2022,68,2,58,18,11
3/25/2022,64,4,53,45,11
3/26/2022,64,0,62,28,11
3/27/2022,70,1,62,30,11
3/28/2022,73,4,68,-17,11
3/29/2022,65,1,55,11,11
3/30/2022,56,3,52,-1,11
3/31/2022,54,2,51,-1,11
4/1/2022,60,3,66,11,11
4/2/2022,67,2,69,32,11
4/3/2022,65,0,57,-28,11
4/4/2022,57,3,47,42,11
4/5/2022,53,3,61,-5,11
4/6/2022,51,0,73,0,11
4/7/2022,54,1,77,11,11
4/8/2022,56,4,59,16,11
4/9/2022,56,0,51,35,11
4/10/2022,60,1,58,19,11
4/11/2022,61,2,65,3,11
4/12/2022,65,4,64,0,11
4/13/2022,65,3,49,-17,11
4/14/2022,66,3,65,-29,11
4/15/2022,66,3,66,12,11
4/16/2022,68,2,68,-23,11
4/17/2022,68,3,48,13,12
4/18/2022,66,0,46,-13,12
4/19/2022,64,0,43,1,12
4/20/2022,64,0,46,12,12
4/21/2022,69,0,45,26,12
4/22/2022,68,0,53,21,12
4/23/2022,62,0,51,-10,12
4/24/2022,60,0,53,8,12
4/25/2022,58,0,56,-17,12
4/26/2022,63,0,53,-11,12
4/27/2022,63,0,52,44,12
4/28/2022,60,0,52,-8,12
4/29/2022,61,0,62,-15,12
4/30/2022,63,0,71,41,12
5/1/2022,78,0,74,24,12
5/2/2022,93,0,85,17,12
5/3/2022,103,0,71,-7,12
5/4/2022,105,0,55,6,12
5/5/2022,102,0,36,45,12
5/6/2022,107,0,35,5,12
5/7/2022,109,0,55,40,12
5/8/2022,108,0,52,-23,12
5/9/2022,107,0,49,9,12
5/10/2022,102,0,27,33,12
5/11/2022,107,0,32,34,12
5/12/2022,102,0,38,43,12
5/13/2022,104,0,55,33,12
5/14/2022,99,0,66,20,12
5/15/2022,97,0,65,-21,12
5/16/2022,96,0,61,14,12
5/17/2022,92,0,52,26,12
5/18/2022,89,0,62,3,12
5/19/2022,92,0,52,7,12
5/20/2022,96,0,48,-16,12
5/21/2022,105,0,46,35,12
5/22/2022,101,0,56,18,12
5/23/2022,101,0,68,25,12
5/24/2022,100,0,59,-2,12
5/25/2022,102,0,66,15,12
5/26/2022,104,0,65,-16,12
5/27/2022,100,0,63,32,12
5/28/2022,96,0,63,-24,12
5/29/2022,95,0,59,6,12
5/30/2022,93,0,67,-1,12
5/31/2022,95,0,52,-6,12
6/1/2022,90,0,49,13,12
6/2/2022,91,0,42,-12,13
6/3/2022,92,0,53,5,13
6/4/2022,98,0,67,-30,13
6/5/2022,101,0,82,-8,13
6/6/2022,100,0,74,18,13
6/7/2022,104,0,53,35,13
6/8/2022,99,0,52,-27,13
6/9/2022,108,0,51,22,13
6/10/2022,97,0,72,10,13
6/11/2022,107,0,55,5,13
6/12/2022,102,0,66,0,13
6/13/2022,110,0,53,37,13
6/14/2022,106,0,71,-5,13
6/15/2022,109,0,71,-2,13
6/16/2022,102,0,82,11,13
6/17/2022,95,0,70,40,13
6/18/2022,88,0,56,32,13
6/19/2022,93,0,41,-17,13
6/20/2022,93,0,36,34,13
6/21/2022,101,0,38,29,13
6/22/2022,104,0,52,43,13
6/23/2022,112,0,71,1,13
6/24/2022,114,0,65,26,13
6/25/2022,111,0,68,-3,13
6/26/2022,103,0,50,-9,13
6/27/2022,96,0,60,-2,13
6/28/2022,100,0,45,-12,13
6/29/2022,104,0,56,-26,13
6/30/2022,110,0,57,-19,13
7/1/2022,107,0,58,44,13
7/2/2022,113,0,61,-30,13
7/3/2022,109,0,58,18,13
7/4/2022,112,0,72,22,13
7/5/2022,105,0,63,40,13
7/6/2022,106,0,71,-13,13
7/7/2022,105,0,60,1,13
7/8/2022,103,0,75,6,13
7/9/2022,98,0,71,-7,13
7/10/2022,89,0,75,-28,13
7/11/2022,89,0,55,11,13
7/12/2022,93,0,56,-11,13
7/13/2022,95,0,54,-26,13
7/14/2022,95,0,73,-19,13
7/15/2022,91,0,62,17,13
7/16/2022,94,0,68,-24,13
7/17/2022,101,0,63,-10,13
7/18/2022,107,0,73,28,13
7/19/2022,112,0,57,2,13
7/20/2022,103,0,54,37,13
7/21/2022,104,0,54,-29,13
7/22/2022,98,0,54,-7,13
7/23/2022,107,0,63,-8,13
7/24/2022,102,0,65,27,13
7/25/2022,108,0,76,17,13
7/26/2022,99,0,58,18,13
7/27/2022,99,0,62,-10,13
7/28/2022,96,0,63,-14,13
7/29/2022,99,0,61,6,13
7/30/2022,104,0,59,-1,13
7/31/2022,106,0,52,33,13
8/1/2022,103,0,65,-8,13
8/2/2022,101,0,68,4,13
8/3/2022,100,0,78,38,13
8/4/2022,105,0,64,-17,13
8/5/2022,103,0,51,-1,13
8/6/2022,98,0,45,31,13
8/7/2022,99,0,50,-3,13
8/8/2022,99,0,50,-24,13
8/9/2022,102,0,60,32,13
8/10/2022,102,0,75,-8,13
8/11/2022,100,0,87,44,13
8/12/2022,102,0,65,9,13
8/13/2022,98,0,53,-16,13
8/14/2022,108,0,53,-20,13
8/15/2022,101,0,59,35,13
8/16/2022,100,0,69,10,13
8/17/2022,95,0,65,-1,13
8/18/2022,101,0,61,23,13
8/19/2022,111,0,55,-14,13
8/20/2022,106,0,46,34,13
8/21/2022,98,0,62,0,12
8/22/2022,91,0,52,19,12
8/23/2022,101,0,66,-17,12
8/24/2022,102,0,71,-3,12
8/25/2022,99,0,77,-1,12
8/26/2022,98,0,57,-10,12
8/27/2022,104,0,36,-18,12
8/28/2022,112,0,31,20,12
8/29/2022,108,0,45,40,12
8/30/2022,100,0,51,-21,12
8/31/2022,96,0,59,7,12
9/1/2022,90,0,58,16,12
9/2/2022,90,0,72,5,12
9/3/2022,94,0,66,-1,12
9/4/2022,105,0,63,-17,12
9/5/2022,110,0,50,37,12
9/6/2022,109,0,61,-18,12
9/7/2022,102,0,52,26,12
9/8/2022,97,0,55,-16,12
9/9/2022,94,0,60,-25,12
9/10/2022,94,0,66,45,12
9/11/2022,101,0,67,-15,12
9/12/2022,107,0,60,-20,12
9/13/2022,107,0,64,-10,12
9/14/2022,105,0,73,20,12
9/15/2022,105,0,73,40,12
9/16/2022,103,0,78,-3,12
9/17/2022,103,0,77,9,12
9/18/2022,98,0,69,15,12
9/19/2022,97,0,67,-10,12
9/20/2022,101,0,56,-2,12
9/21/2022,99,1,62,10,12
9/22/2022,104,0,67,42,12
9/23/2022,99,1,73,11,12
9/24/2022,100,1,64,23,12
9/25/2022,99,1,49,18,12
9/26/2022,104,0,46,16,12
9/27/2022,110,3,60,7,11
9/28/2022,116,1,76,-2,11
9/29/2022,115,2,83,12,11
9/30/2022,114,1,79,-22,11
10/1/2022,106,0,78,40,11
10/2/2022,98,3,75,39,11
10/3/2022,89,0,83,38,11
10/4/2022,88,1,79,3,11
10/5/2022,86,2,65,45,11
10/6/2022,86,0,49,22,11
10/7/2022,86,0,51,-19,11
10/8/2022,87,2,71,-27,11
10/9/2022,85,2,83,45,11
10/10/2022,84,2,70,-25,11
10/11/2022,84,2,68,37,11
10/12/2022,86,0,67,8,11
10/13/2022,88,0,66,18,11
10/14/2022,87,1,60,29,11
10/15/2022,87,0,49,18,11
10/16/2022,87,2,48,44,11
10/17/2022,86,2,44,28,11
10/18/2022,86,0,46,38,11
10/19/2022,85,1,57,-16,11
10/20/2022,85,3,64,39,11
10/21/2022,84,3,72,28,11
10/22/2022,81,1,76,42,11
10/23/2022,81,3,83,0,11
10/24/2022,80,3,87,36,11
10/25/2022,81,1,88,-12,11
10/26/2022,79,0,74,-11,11
10/27/2022,77,0,59,23,11
10/28/2022,75,3,62,-4,11
10/29/2022,73,1,70,32,10
10/30/2022,72,1,83,14,10
10/31/2022,70,0,85,32,10
11/1/2022,69,3,68,-15,10
11/2/2022,70,3,66,29,10
11/3/2022,70,1,54,-18,10
11/4/2022,69,2,67,20,10
11/5/2022,68,1,57,42,10
11/6/2022,71,1,53,-3,10
11/7/2022,72,1,44,34,10
11/8/2022,72,2,41,10,10
11/9/2022,69,3,55,41,10
11/10/2022,68,1,53,-24,10
11/11/2022,70,3,68,24,10
11/12/2022,73,3,69,-12,10
11/13/2022,76,2,85,6,10
11/14/2022,77,3,68,31,10
11/15/2022,76,3,49,-29,10
11/16/2022,72,0,52,31,10
11/17/2022,68,0,51,-13,10
11/18/2022,65,2,48,9,10
11/19/2022,68,3,35,-16,10
11/20/2022,71,0,39,6,10
11/21/2022,73,1,57,45,10
11/22/2022,71,0,69,20,10
11/23/2022,67,3,72,-9,10
11/24/2022,63,1,53,-2,10
11/25/2022,60,1,50,-10,10
11/26/2022,58,2,50,12,10
11/27/2022,57,0,67,-20,10
11/28/2022,56,2,61,2,10
11/29/2022,55,1,70,37,10
11/30/2022,54,2,55,-7,10
12/1/2022,56,1,66,9,10
12/2/2022,59,0,53,22,10
12/3/2022,62,0,70,10,10
12/4/2022,62,3,55,19,10
12/5/2022,61,0,60,40,10
12/6/2022,60,2,63,-5,10
12/7/2022,59,2,64,-12,10
12/8/2022,58,3,71,38,10
12/9/2022,57,0,57,37,10
12/10/2022,56,0,67,22,10
12/11/2022,55,0,53,-2,10
12/12/2022,54,3,63,16,10
12/13/2022,53,3,48,42,10
12/14/2022,52,0,47,36,10
12/15/2022,51,2,44,45,10
12/16/2022,50,3,48,-13,10
12/17/2022,49,2,48,-28,10
12/18/2022,48,2,57,-14,10
12/19/2022,47,1,54,2,10
12/20/2022,46,3,72,-17,10
12/21/2022,45,3,62,8,10
12/22/2022,44,3,71,-22,10
12/23/2022,43,3,68,45,10
12/24/2022,42,1,71,12,10
12/25/2022,41,1,61,-20,10
12/26/2022,40,3,59,-24,10
12/27/2022,39,1,65,-1,10
12/28/2022,38,2,62,-15,10
12/29/2022,37,0,66,3,10
12/30/2022,36,2,53,-25,10
12/31/2022,35,3,73,34,10
